model,file,seed,status,wall_time,error,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,dataset
AnomalyTransformer,132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,2024,success,4.573758125305176,,0.07190767204103801,0.6138899381493103,0.07506480475189276,0.6151730616899496,0.14911399149042204,0.9573770491803278,0.39175257731958724,0.2164376677287393,0.6798105731933484,OPPORTUNITY
AnomalyTransformer,132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,42,success,4.419677019119263,,0.10862179240368672,0.5812405084758828,0.1146838236135483,0.5827363867940656,0.24397656301831097,0.9765886287625418,0.6226415094339618,0.27471336687689585,0.8501605149053085,OPPORTUNITY
AnomalyTransformer,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,13,success,38.57207679748535,,0.05945879529755448,0.49072834274271365,0.04513789425249553,0.5022151688885048,0.06697194609346414,0.8071296451992601,0.4985941893158382,0.12789919127229119,0.7385652256771317,CATSv2
AnomalyTransformer,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,1337,success,38.691972494125366,,0.060872962461363714,0.5109808639741363,0.046963489795910224,0.5232412620143478,0.07075463752565561,0.8142561569779083,0.6113989637305695,0.16394353876014905,0.7288359745884344,CATSv2
AnomalyTransformer,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,17,success,38.522024631500244,,0.06050902785943675,0.4982456853567522,0.04755571845542501,0.510971689053161,0.06766129206646737,0.880648899188876,0.5019305019305014,0.15866816640531675,0.7272125994919042,CATSv2
AnomalyTransformer,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,2024,success,38.51790809631348,,0.04797980059383046,0.47341595010615706,0.038910277104767244,0.4869281998098588,0.06547555715606918,0.7402422611036339,0.6113207547169806,0.17275634926634467,0.7316287739052585,CATSv2
AnomalyTransformer,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,42,success,38.54089951515198,,0.0621910109472554,0.50329440865663,0.0481822989358393,0.5143715293142311,0.07562691741422072,0.8210997760636974,0.5128205128205123,0.1337102287667631,0.7245971326535988,CATSv2
AnomalyTransformer,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,13,success,3.9305031299591064,,0.020404245875415394,0.5465636954646972,0.015599161328095464,0.5226294550411084,0.12697958192131376,0.8367346938775511,0.3076923076923074,0.27840909090909094,0.9913031846726165,SMAP
AnomalyTransformer,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,1337,success,3.9164834022521973,,0.015080269262158151,0.5104095261260864,0.009669387167470804,0.5000033194722483,0.04444282475038687,0.9318181818181818,0.24999999999999975,0.2093023255813954,0.9917574941113608,SMAP
AnomalyTransformer,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,17,success,3.9125397205352783,,0.03337295218898742,0.027817703381022955,0.0338237923585081,0.028042068308506623,0.04761858277097771,1.0,0.9999999999999996,0.36000000000000004,0.9958143576881608,SMAP
AnomalyTransformer,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,2024,success,3.9141955375671387,,0.012031488774353272,0.5106085399022622,0.009669387167470804,0.5000033194722483,0.040813594518571,0.9213483146067416,0.22222222222222202,0.18947368421052632,0.9908139110678256,SMAP
AnomalyTransformer,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,42,success,3.9210634231567383,,0.013685462579877418,0.050458284501249374,0.015201814623604273,0.07609930089948747,0.063487518591923,0.9111111111111111,0.1999999999999998,0.24438902743142146,0.9902074045291359,SMAP
AnomalyTransformer,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,13,success,13.694483041763306,,0.13992865012255476,0.5121917217602387,0.15874551039243884,0.5100079531989974,0.23389264665285056,0.19443254817987152,0.3435897435897431,0.11943808238210094,0.5095146049319241,SWaT
AnomalyTransformer,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,1337,success,13.659658908843994,,0.13679658779258788,0.5144511581067472,0.16294596110802173,0.5647211685185858,0.23389264665285056,0.32219338092147953,0.23745208979740806,0.16454648330991833,0.7082420105107552,SWaT
AnomalyTransformer,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,17,success,13.671767950057983,,0.13384782387739746,0.5077772114254044,0.1574960517911725,0.5085266835166448,0.23389264665285056,0.4830780192376202,0.3509933774834433,0.17658391601562526,0.6154683905637601,SWaT
AnomalyTransformer,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,2024,success,13.659770250320435,,0.12871640528290415,0.5033053433991824,0.1510051277196024,0.4967861438767627,0.23389264665285056,0.6155908829726107,0.2350900021687267,0.14126606394046237,0.6775865107448285,SWaT
AnomalyTransformer,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,42,success,13.684921026229858,,0.18155267926926766,0.5358535497908883,0.18200775692195742,0.5243008597957964,0.23389264665285056,0.5539097485359973,0.5389830508474571,0.18708312899987045,0.6809543533596153,SWaT
AnomalyTransformer,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,13,success,65.0121419429779,,0.0610913308363323,0.4500693495697332,0.05369887542264678,0.5659218095198902,0.13713919556111312,0.3837154890032756,0.07526881720430101,0.016222651601261906,0.6443295291525977,GECCO
