file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,131.1386342048645,0.006511495108828103,0.42765462160259154,0.006742341584584384,0.4387889605605637,0.020134249222516786,0.033484221697602394,0.019922308546059912,0.012945949170743348,0.6667064767864933
043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,131.011620759964,0.022570598785800172,0.882040792658125,0.023645538218054866,0.8857432004012904,0.056853282963654286,0.16957082929977413,0.0559221027987655,0.04663076188899386,0.7191965993052121
044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,130.4752540588379,0.013769847723270152,0.589762711947306,0.015014776156530598,0.5559447476066328,0.04168890839806085,0.15004972650422677,0.040921192262580675,0.035331874024903155,0.6666823946436296
045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,130.34517812728882,0.02289019122606749,0.8162836643538683,0.02491110891562934,0.8176620373715205,0.0651751400504303,0.2529610097691709,0.064464316721653,0.04988121874498917,0.6916062161539884
046_GHL_id_15_Sensor_tr_50000_1st_156462.csv,130.33677434921265,0.16499006768767788,0.9833512379482101,0.16332037297648508,0.9836487439038221,0.31618658797765226,0.5998547567175018,0.3258350374914789,0.2398278189180316,0.9364158136040105
047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,130.29149770736694,0.010410320638733761,0.3833644144434288,0.01094620404274794,0.4008063432313237,0.0291128198772478,0.08134669033730661,0.028941686956613956,0.024776091542866165,0.7809301585472286
048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,130.4467568397522,0.0209666723064861,0.5141767936190422,0.022548748689441078,0.5167471022937937,0.06640099592385967,0.23926247288503255,0.07352866500787068,0.07846864009686251,0.8266267479685152
050_GHL_id_19_Sensor_tr_43750_1st_55001.csv,114.18367528915405,0.057301266131143724,0.944219139082634,0.06379596657465399,0.9461840147994014,0.1602419524056892,0.3358120166567519,0.15987153180479954,0.12495398399898962,0.7528266040254564
051_GHL_id_20_Sensor_tr_50000_1st_75110.csv,130.579852104187,0.0038305899740934796,0.22282227870438684,0.003961290239314027,0.23697608721030347,0.012037478894295217,0.03546754020250149,0.01201846666162112,0.03773654256528685,0.6666437379639534
052_GHL_id_21_Sensor_tr_50000_1st_98001.csv,130.90019583702087,0.0034523875708058443,0.28694875863695873,0.003518569328272711,0.29618966161397436,0.010867695419911819,0.02042662403231235,0.010858078981062648,0.013121471713638663,0.6666613480862618
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,130.51015186309814,0.025409944855346672,0.406902645030223,0.02654753220932434,0.4207733399439158,0.07305915719985061,0.14576505088839053,0.0716127879066441,0.04121656400299846,0.8166753808115091
